label,file,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Dha,Dha_000.jpg,0.0,0.0,0.0,0.15691975,-0.17768118,-0.04966202,0.22141246,-0.4884093,-0.052004676,0.21821229,-0.77040184,-0.05282183,0.2564349,-0.9434192,-0.052767392,0.10160863,-0.818253,0.010807839,0.08430529,-1.1226679,-0.02033078,0.06809663,-1.299982,-0.05727815,0.04802045,-1.455277,-0.08543359,5.153656e-09,-0.8358619,0.0073038726,-0.013834332,-1.1768275,-0.015595504,-0.025499051,-1.3857481,-0.051583752,-0.041871607,-1.553964,-0.079704545,-0.088999316,-0.793617,-0.007516199,-0.10486043,-1.1171838,-0.036974214,-0.10976337,-1.3039018,-0.06704331,-0.114892974,-1.4616745,-0.087514706,-0.17841944,-0.6972276,-0.028414262,-0.19005495,-0.95119244,-0.05844833,-0.19339867,-1.0993979,-0.07426221,-0.19256264,-1.2400919,-0.08407797
Dha,Dha_001.jpg,0.0,0.0,0.0,0.1540968,-0.16459332,-0.05584048,0.2233177,-0.47805244,-0.061443098,0.22325513,-0.7629881,-0.06392075,0.26603377,-0.9427958,-0.06582776,0.10241328,-0.81355655,-0.004589322,0.08702424,-1.1213529,-0.039118744,0.07385779,-1.3105989,-0.076354,0.055007678,-1.476764,-0.104773715,-7.623404e-08,-0.8260207,-0.006584068,-0.013067516,-1.1700995,-0.03398613,-0.02264195,-1.3873231,-0.06936028,-0.037771177,-1.5627064,-0.09648314,-0.089958735,-0.78068835,-0.019728517,-0.10418275,-1.1121631,-0.053515118,-0.10732462,-1.3053796,-0.08198174,-0.109275766,-1.4681311,-0.10048549,-0.1804117,-0.683332,-0.03933292,-0.19418402,-0.9438598,-0.0744147,-0.19568102,-1.1039864,-0.09175249,-0.19095263,-1.2530656,-0.10170389
Dha,Dha_002.jpg,0.0,0.0,0.0,-0.16068481,-0.14702554,-0.056672905,-0.22731636,-0.4356546,-0.07207432,-0.22449121,-0.7095034,-0.085913084,-0.25437012,-0.9106387,-0.095049836,-0.107230246,-0.8133283,0.010453576,-0.09499823,-1.1027074,-0.015822465,-0.077701405,-1.2657424,-0.05052783,-0.05647011,-1.4188336,-0.08158567,-4.7890346e-08,-0.8509028,0.006368103,0.01849037,-1.190957,-0.012342174,0.036069322,-1.3917996,-0.042699013,0.04706788,-1.5680699,-0.069383346,0.08880368,-0.812898,-0.010942049,0.112061374,-1.1384509,-0.036140665,0.123003095,-1.3290137,-0.06412676,0.123428755,-1.4904559,-0.086693354,0.17815705,-0.71305275,-0.036168315,0.19813351,-0.966231,-0.062382028,0.20011126,-1.1247977,-0.07973017,0.19788277,-1.2700495,-0.09374566
Dha,Dha_003.jpg,0.0,0.0,0.0,-0.16047823,-0.14932075,-0.06017032,-0.22559433,-0.4351586,-0.07769712,-0.21927391,-0.7067301,-0.09291533,-0.24578935,-0.9102467,-0.103064395,-0.10662878,-0.8141847,0.0040390724,-0.093290396,-1.1052943,-0.024523452,-0.07590455,-1.2709477,-0.060252294,-0.054789905,-1.4265884,-0.091928266,-7.460763e-08,-0.84975755,0.0015657666,0.01796568,-1.1884885,-0.020026663,0.03496893,-1.3883189,-0.051707264,0.046538267,-1.566798,-0.07912292,0.08791084,-0.8117481,-0.014078136,0.10977818,-1.1364529,-0.04136434,0.11915386,-1.3285934,-0.070387304,0.11894136,-1.4938833,-0.09339903,0.17577578,-0.712267,-0.037786607,0.19387242,-0.9656617,-0.064796485,0.19407125,-1.1239066,-0.08251073,0.19003667,-1.2691526,-0.09667269
Dha,Dha_004.jpg,0.0,0.0,0.0,-0.16241753,-0.1445293,-0.054672353,-0.22651476,-0.43924835,-0.067803174,-0.21566755,-0.71543723,-0.08016388,-0.23864163,-0.92266273,-0.08852097,-0.10500171,-0.8114004,0.01165005,-0.09414151,-1.101506,-0.016432606,-0.077484116,-1.2665129,-0.052390862,-0.057808686,-1.421858,-0.08448012,-5.6996043e-08,-0.8472109,0.005995621,0.016072525,-1.1864153,-0.015875679,0.030699916,-1.3870145,-0.048801057,0.038753342,-1.5627582,-0.077356525,0.087352164,-0.8105843,-0.012844475,0.10929189,-1.138374,-0.041314006,0.11742616,-1.3296432,-0.071922176,0.11475767,-1.4914947,-0.09627403,0.17553164,-0.713678,-0.03934388,0.19512106,-0.9670774,-0.068991445,0.1956109,-1.1278173,-0.089256346,0.19008996,-1.274702,-0.10556771
Dha,Dha_005.jpg,0.0,0.0,0.0,-0.16421397,-0.14803033,-0.05732327,-0.22753897,-0.4383008,-0.07230523,-0.21781327,-0.7130716,-0.08558384,-0.244179,-0.9150131,-0.094163634,-0.10763346,-0.8130446,0.009376548,-0.09224958,-1.105379,-0.016434008,-0.07266137,-1.2703876,-0.050636474,-0.048438683,-1.4240401,-0.08180813,-3.8478618e-08,-0.84842885,0.0054945243,0.0184079,-1.1869111,-0.013305698,0.037728917,-1.3884665,-0.044465885,0.051359188,-1.5673909,-0.072268434,0.087592356,-0.809557,-0.011682978,0.11147657,-1.1379629,-0.038123067,0.12176891,-1.3279909,-0.06791708,0.12177768,-1.4905375,-0.09193939,0.17514819,-0.7094754,-0.036606085,0.19492102,-0.9650067,-0.06493147,0.19780375,-1.1239492,-0.08449112,0.19658938,-1.2712034,-0.100311995
Dha,Dha_006.jpg,0.0,0.0,0.0,-0.16199109,-0.14473571,-0.060107056,-0.22896641,-0.43068534,-0.07655625,-0.2212847,-0.7039345,-0.090388454,-0.24252506,-0.9105798,-0.099439315,-0.10769143,-0.81477416,0.003248071,-0.09234221,-1.110926,-0.024413643,-0.07274315,-1.2777565,-0.058835793,-0.049909208,-1.4323896,-0.089362346,-3.8146283e-08,-0.8496017,0.0014426454,0.02110453,-1.1925269,-0.018175822,0.04046273,-1.3938451,-0.04823638,0.05354566,-1.5689988,-0.0745283,0.08878915,-0.8096217,-0.013570798,0.11267567,-1.135815,-0.03960283,0.12476886,-1.3295361,-0.06887514,0.12752058,-1.4934202,-0.092383794,0.17816122,-0.70755833,-0.036582753,0.19800216,-0.95896494,-0.064089015,0.20048097,-1.1169264,-0.08317504,0.19911185,-1.2618095,-0.098372765
Dha,Dha_007.jpg,0.0,0.0,0.0,-0.16098075,-0.14396992,-0.055849954,-0.22639965,-0.43431723,-0.07178675,-0.22111763,-0.7078545,-0.08606837,-0.24620996,-0.91141266,-0.09585038,-0.10676576,-0.8152421,0.0034880817,-0.091882356,-1.1093928,-0.024678836,-0.073287845,-1.2758998,-0.059024934,-0.05164823,-1.4279728,-0.089295976,-6.3287445e-08,-0.8487637,-0.00095608836,0.021438476,-1.1913155,-0.021141343,0.041704416,-1.3943739,-0.050761607,0.05517092,-1.5707678,-0.076401874,0.089139216,-0.8081584,-0.0180776,0.11342729,-1.135909,-0.044039447,0.12580658,-1.3287798,-0.07225332,0.12765452,-1.4938707,-0.094759926,0.17683285,-0.70614195,-0.042783383,0.19863862,-0.9591133,-0.07029821,0.2017795,-1.1180423,-0.088442296,0.20002224,-1.2644868,-0.102666155
Dha,Dha_008.jpg,0.0,0.0,0.0,-0.16138898,-0.14930001,-0.06039623,-0.22795282,-0.43479228,-0.07679539,-0.2222663,-0.7070838,-0.09081993,-0.2469933,-0.91168934,-0.100322075,-0.107821964,-0.8168669,0.005544147,-0.09274684,-1.1103055,-0.020396262,-0.074712664,-1.2742075,-0.05417329,-0.053626604,-1.4286113,-0.08486741,1.5128174e-08,-0.851336,0.0034116772,0.021106612,-1.1916538,-0.015487947,0.03933139,-1.3898317,-0.045664765,0.050356172,-1.5638645,-0.072420515,0.08756329,-0.81101334,-0.012146301,0.11209755,-1.134918,-0.038306538,0.123321995,-1.3289188,-0.068381816,0.12449498,-1.4946004,-0.092756286,0.17474647,-0.7088898,-0.0357342,0.19563282,-0.9602662,-0.06351657,0.19868413,-1.1179148,-0.08308038,0.1974976,-1.2631162,-0.09903527
Dha,Dha_009.jpg,0.0,0.0,0.0,-0.16614547,-0.14293212,-0.060214344,-0.23219112,-0.43454602,-0.07626816,-0.2270207,-0.70768,-0.08970231,-0.25679728,-0.90787894,-0.09888798,-0.10837399,-0.8129017,0.0033005513,-0.091799505,-1.1089492,-0.02595585,-0.07019345,-1.281811,-0.061984867,-0.04446545,-1.438617,-0.09386269,-6.0690525e-08,-0.8450426,0.00017982,0.02039084,-1.1867945,-0.023085516,0.041919094,-1.3927186,-0.05634758,0.05862969,-1.5745825,-0.08435639,0.08968067,-0.8027812,-0.016293027,0.1162812,-1.1333168,-0.04631367,0.12986232,-1.3270649,-0.07761118,0.13439284,-1.4940627,-0.10157481,0.17796151,-0.6982833,-0.040581077,0.19919184,-0.9547285,-0.071596175,0.20153822,-1.1161605,-0.09208482,0.20045188,-1.266275,-0.10783075
Dha,Dha_010.jpg,0.0,0.0,0.0,-0.16625136,-0.14139244,-0.059035398,-0.23270671,-0.431856,-0.073750935,-0.22616307,-0.70702106,-0.08613498,-0.24947117,-0.9136672,-0.09352181,-0.10826671,-0.8157347,0.009735299,-0.091610655,-1.1079447,-0.016457528,-0.070781074,-1.274327,-0.051357772,-0.04639067,-1.4281758,-0.08237255,-5.251022e-08,-0.84953743,0.007274303,0.021837205,-1.1909652,-0.010980266,0.04316818,-1.3934895,-0.040866006,0.057775397,-1.5695915,-0.066968374,0.08929501,-0.8085785,-0.008912636,0.116710216,-1.1357182,-0.03386219,0.13109338,-1.3266149,-0.061859965,0.13526666,-1.4904163,-0.084211364,0.17778555,-0.705407,-0.033282563,0.20002699,-0.9604299,-0.060064986,0.20273805,-1.1197236,-0.077948414,0.2016966,-1.2676654,-0.09218744
Dha,Dha_011.jpg,0.0,0.0,0.0,-0.16416724,-0.1385413,-0.056242548,-0.22638093,-0.42698225,-0.071430266,-0.21341528,-0.7050875,-0.08512898,-0.24548173,-0.9035857,-0.094447024,-0.1068936,-0.81181,0.0090607945,-0.09017312,-1.1063017,-0.019343773,-0.07037981,-1.2763487,-0.056894083,-0.04779448,-1.4356545,-0.09052998,-1.0093397e-08,-0.84890074,0.004049818,0.022368811,-1.185295,-0.017313212,0.04185923,-1.3893138,-0.053087827,0.05377425,-1.5705475,-0.08469613,0.087898776,-0.81397647,-0.013783779,0.11799062,-1.1382238,-0.04088681,0.12977917,-1.3251672,-0.074083515,0.12717085,-1.4814624,-0.10118387,0.17565714,-0.7196265,-0.039267622,0.20102227,-0.96838444,-0.06766533,0.20284231,-1.1267756,-0.08881871,0.19627185,-1.2709148,-0.10641289
Dha,Dha_012.jpg,0.0,0.0,0.0,0.15321451,-0.16119587,-0.056455854,0.22004913,-0.47554517,-0.061415885,0.22096169,-0.7632125,-0.06285329,0.26572895,-0.9425808,-0.062685534,0.10169408,-0.81928176,-0.0009020595,0.08831987,-1.1260219,-0.03230687,0.07637286,-1.3077745,-0.06763756,0.05851578,-1.4680941,-0.09471773,-8.3962995e-08,-0.8332503,-0.00084126624,-0.009088391,-1.1744787,-0.024096543,-0.017185733,-1.386406,-0.05640738,-0.032691903,-1.5584693,-0.08170092,-0.088731915,-0.7883595,-0.012179902,-0.10041498,-1.1136714,-0.04146604,-0.10021815,-1.3014066,-0.067190915,-0.10097513,-1.4609523,-0.084453546,-0.17810982,-0.69177717,-0.03029927,-0.19085819,-0.9484867,-0.061335236,-0.19098796,-1.1069096,-0.07658497,-0.1856422,-1.2553482,-0.08552318
Dha,Dha_013.jpg,0.0,0.0,0.0,0.15361683,-0.15904462,-0.056799393,0.22097549,-0.4744595,-0.061176993,0.22076486,-0.7626487,-0.062032625,0.2652571,-0.94098234,-0.06112404,0.102610044,-0.8188188,0.0005187244,0.0886223,-1.1248616,-0.030315215,0.07654943,-1.3065264,-0.06528517,0.058946475,-1.4659455,-0.09219392,-3.6325975e-08,-0.83388853,0.00092304964,-0.009712686,-1.1749209,-0.02212569,-0.017995056,-1.387999,-0.054406144,-0.03377577,-1.5603573,-0.0795923,-0.089141525,-0.7896646,-0.0102286255,-0.10026704,-1.1139212,-0.03950147,-0.099516936,-1.3019181,-0.06539997,-0.09991361,-1.461714,-0.08269005,-0.17884845,-0.6931553,-0.028236475,-0.19174665,-0.94859886,-0.05936314,-0.19174725,-1.1070644,-0.07487597,-0.18628033,-1.256175,-0.083958544
