index,label,start,end
1,ka,00:45,00:51
2,kha,00:55,00:59
3,ga,01:05,01:08
4,gha,01:13,01:16
5,nga,01:25,01:33
6,cha,01:37,01:41
7,chha,01:50,01:52
8,ja,01:59,02:03
9,jha,02:15,02:17
10,nya,02:26,02:29
11,Ta,02:38,02:40
12,Tha,02:48,02:51
13,Da,03:02,03:04
14,Dha,03:08,03:12
15,Na,03:19,03:22
16,ta,03:30,03:33
17,tha,03:42,03:44
18,da,03:57,04:01
19,dha,04:08,04:11
20,na,04:18,04:20
21,pa,04:34,04:41
22,pha,04:51,04:54
23,ba,05:18,05:19
24,bha,05:23,05:27
25,ma,05:42,05:45
26,ya,05:53,05:56
27,ra,06:08,06:11
28,la,06:20,06:23
29,va,06:33,06:35
30,sha,06:54,06:56
31,Sha,07:11,07:15
32,sa,07:30,07:32
33,ha,07:42,07:46
34,La,07:57,08:00
